student_id,lectures_attended,total_lectures
203,0,30
204,23,30
205,7,30
206,18,30
207,29,30
208,4,30
209,28,30
210,15,30
210,15,30
211,150,30
212,16,30
213,-5,30
214,25,30
215,26,30
216,150,30
217,17,30
218,22,30
219,30,30
220,11,30
221,20,30
222,0,30
223,9,30
224,14,30
225,23,30
226,14,30
227,4,30
228,12,30
229,27,30
230,14,30
231,0,30
232,2,30
233,22,30
234,1,30
235,24,30
236,30,30
237,18,30
238,25,30
239,19,30
240,23,30
241,16,30
242,21,30
243,1,30
244,11,30
245,1,30
246,5,30
247,22,30
248,-5,30
249,4,30
250,7,30
251,20,30
252,30,30
253,27,30
254,6,30
255,24,30
256,11,30
257,16,30
258,8,30
259,150,30
260,15,30
261,26,30
262,22,30
263,26,30
264,9,30
265,11,30
266,30,30
267,30,30
268,6,30
269,14,30
270,150,30
271,9,30
272,2,30
273,8,30
274,4,30
275,27,30
276,30,30
277,9,30
278,21,30
279,4,30
280,13,30
281,20,30
282,15,30
282,15,30
283,15,30
283,15,30
284,16,30
285,13,30
286,20,30
287,10,30
288,21,30
289,26,30
290,14,30
291,4,30
292,9,30
293,8,30
294,11,30
295,24,30
296,4,30
297,14,30
298,19,30
299,22,30
300,5,30
301,26,30
302,28,30
303,4,30
304,3,30
305,150,30
306,14,30
307,5,30
308,22,30
309,150,30
310,4,30
311,17,30
312,17,30
313,29,30
314,150,30
315,30,30
316,10,30
317,23,30
318,16,30
319,22,30
320,28,30
321,30,30
322,18,30
323,25,30
324,29,30
325,10,30
326,23,30
327,1,30
328,17,30
329,0,30
330,26,30
331,11,30
332,15,30
332,15,30
333,6,30
334,7,30
335,24,30
336,0,30
337,150,30
338,30,30
339,-5,30
340,15,30
341,19,30
342,1,30
343,11,30
344,22,30
345,11,30
346,0,30
347,11,30
348,14,30
349,2,30
350,28,30
351,13,30
352,9,30
353,23,30
354,13,30
355,13,30
356,18,30
357,4,30
358,15,30
359,16,30
360,2,30
361,18,30
362,2,30
363,-5,30
364,13,30
365,14,30
366,24,30
367,6,30
368,12,30
369,15,30
370,150,30
371,9,30
372,23,30
373,0,30
374,4,30
375,30,30
376,20,30
377,20,30
378,9,30
379,15,30
380,20,30
381,3,30
382,15,30
383,2,30
384,11,30
385,18,30
386,8,30
387,15,30
388,26,30
389,16,30
390,0,30
391,5,30
392,4,30
393,28,30
394,11,30
395,8,30
396,20,30
397,11,30
398,150,30
399,29,30
400,15,30
400,15,30
401,5,30
402,19,30
403,17,30
404,10,30
405,21,30
406,8,30
407,22,30
408,17,30
409,26,30
410,4,30
411,11,30
412,13,30
413,29,30
414,6,30
415,7,30
416,25,30
417,19,30
418,30,30
419,17,30
420,22,30
421,3,30
422,29,30
423,15,30
423,15,30
424,15,30
425,22,30
426,26,30
427,19,30
428,10,30
429,9,30
430,15,30
430,15,30
431,27,30
432,22,30
433,4,30
434,2,30
435,24,30
436,2,30
437,150,30
438,1,30
439,1,30
440,16,30
441,15,30
442,8,30
443,150,30
444,24,30
445,15,30
445,15,30
446,6,30
447,6,30
448,11,30
449,15,30
449,15,30
450,30,30
451,18,30
452,5,30
453,24,30
454,7,30
455,2,30
456,-5,30
457,16,30
458,6,30
459,5,30
460,17,30
461,-5,30
462,15,30
462,15,30
463,27,30
464,11,30
465,5,30
466,30,30
467,26,30
468,12,30
469,16,30
470,3,30
471,10,30
472,3,30
473,15,30
474,22,30
475,23,30
476,150,30
477,12,30
478,19,30
479,21,30
480,14,30
481,13,30
482,27,30
483,27,30
484,150,30
485,11,30
486,21,30
487,3,30
488,16,30
489,2,30
490,12,30
491,18,30
492,23,30
493,5,30
494,15,30
494,15,30
495,19,30
496,12,30
497,26,30
498,15,30
499,22,30
500,18,30
501,25,30
502,30,30
503,15,30
504,30,30
505,15,30
506,4,30
507,3,30
508,15,30
509,20,30
510,0,30
511,15,30
511,15,30
512,15,30
513,5,30
514,21,30
515,9,30
516,3,30
517,21,30
518,24,30
519,14,30
520,21,30
521,16,30
522,10,30
523,17,30
524,30,30
525,13,30
526,3,30
527,10,30
528,14,30
529,1,30
530,21,30
531,9,30
532,5,30
533,4,30
534,12,30
535,3,30
536,15,30
537,21,30
538,15,30
539,27,30
540,1,30
541,15,30
542,12,30
543,11,30
544,9,30
545,0,30
546,4,30
547,11,30
548,18,30
549,-5,30
550,3,30
551,11,30
552,1,30
553,7,30
554,9,30
555,29,30
556,27,30
557,10,30
558,17,30
559,14,30
560,13,30
561,28,30
562,0,30
563,18,30
564,150,30
565,12,30
566,3,30
567,3,30
568,6,30
569,16,30
570,21,30
571,19,30
572,13,30
573,20,30
574,25,30
575,-5,30
576,8,30
577,-5,30
578,7,30
579,30,30
580,-5,30
581,150,30
582,18,30
583,15,30
584,11,30
585,20,30
586,16,30
587,13,30
588,10,30
589,12,30
590,16,30
591,24,30
592,28,30
593,-5,30
594,5,30
595,6,30
596,26,30
597,14,30
598,20,30
599,19,30
600,29,30
601,18,30
602,1,30
603,11,30
604,7,30
605,21,30
606,27,30
607,10,30
608,29,30
609,15,30
609,15,30
610,8,30
611,20,30
612,21,30
613,12,30
614,4,30
615,7,30
616,9,30
617,17,30
618,13,30
619,1,30
620,8,30
621,8,30
622,8,30
623,5,30
624,1,30
625,15,30
626,1,30
627,2,30
628,9,30
629,28,30
630,28,30
631,21,30
632,12,30
633,23,30
634,7,30
635,23,30
636,3,30
637,26,30
638,24,30
639,8,30
640,2,30
641,3,30
642,10,30
643,18,30
644,25,30
645,7,30
646,6,30
647,5,30
648,8,30
649,8,30
650,1,30
651,11,30
652,3,30
653,13,30
654,7,30
655,28,30
656,4,30
657,22,30
658,9,30
659,-5,30
660,-5,30
661,30,30
662,-5,30
663,17,30
664,20,30
665,11,30
666,21,30
667,27,30
668,14,30
669,29,30
670,29,30
671,8,30
672,29,30
673,7,30
674,27,30
675,29,30
676,10,30
677,24,30
678,25,30
679,15,30
679,15,30
680,30,30
681,23,30
682,26,30
683,13,30
684,26,30
685,5,30
686,16,30
687,150,30
688,26,30
689,10,30
690,0,30
691,20,30
692,20,30
693,20,30
694,12,30
695,9,30
696,2,30
697,7,30
698,24,30
699,24,30
700,19,30
701,25,30
702,14,30
703,23,30
704,5,30
705,26,30
706,9,30
707,13,30
708,12,30
709,30,30
710,18,30
711,30,30
712,-5,30
713,20,30
714,2,30
715,6,30
716,27,30
717,12,30
718,19,30
719,2,30
720,5,30
721,3,30
722,-5,30
723,29,30
724,26,30
725,3,30
726,6,30
727,27,30
728,8,30
729,15,30
730,13,30
731,19,30
732,26,30
733,21,30
734,5,30
735,4,30
736,150,30
737,14,30
738,11,30
739,20,30
740,0,30
741,27,30
742,22,30
743,6,30
744,22,30
745,19,30
746,3,30
747,1,30
748,7,30
749,11,30
750,30,30
751,25,30
752,23,30
753,0,30
754,19,30
755,12,30
756,4,30
757,17,30
758,15,30
758,15,30
759,16,30
760,10,30
761,4,30
762,-5,30
763,4,30
764,10,30
765,15,30
765,15,30
766,26,30
767,11,30
768,9,30
769,8,30
770,24,30
771,16,30
772,28,30
773,23,30
774,24,30
775,17,30
776,21,30
777,14,30
778,15,30
778,15,30
779,15,30
779,15,30
780,150,30
781,14,30
782,28,30
783,1,30
784,22,30
785,14,30
786,27,30
787,4,30
788,2,30
789,9,30
790,5,30
791,26,30
792,28,30
793,6,30
794,0,30
795,18,30
796,29,30
797,150,30
798,28,30
799,9,30
800,21,30
801,11,30
802,30,30
803,10,30
804,2,30
805,22,30
806,14,30
807,8,30
808,0,30
809,1,30
810,30,30
811,30,30
812,23,30
813,25,30
814,6,30
815,25,30
816,10,30
817,23,30
818,-5,30
819,12,30
820,7,30
821,27,30
822,0,30
823,5,30
824,12,30
825,24,30
826,4,30
827,15,30
828,23,30
829,9,30
830,19,30
831,21,30
832,150,30
833,15,30
834,12,30
835,18,30
836,2,30
837,25,30
838,5,30
839,13,30
840,-5,30
841,14,30
842,20,30
843,4,30
844,16,30
845,16,30
846,150,30
847,29,30
848,9,30
849,4,30
850,9,30
851,16,30
852,18,30
853,15,30
853,15,30
854,16,30
855,13,30
856,14,30
857,18,30
858,11,30
859,2,30
860,0,30
861,21,30
862,25,30
863,12,30
864,150,30
865,9,30
866,23,30
867,21,30
868,25,30
869,30,30
870,25,30
871,5,30
872,-5,30
873,21,30
874,17,30
875,150,30
876,5,30
877,14,30
878,27,30
879,23,30
880,15,30
881,26,30
882,11,30
883,30,30
884,12,30
885,2,30
886,0,30
887,26,30
888,15,30
888,15,30
889,6,30
890,4,30
891,13,30
892,27,30
893,6,30
894,150,30
895,13,30
896,15,30
896,15,30
897,23,30
898,30,30
899,0,30
900,18,30
901,9,30
902,26,30
903,10,30
904,-5,30
905,13,30
906,27,30
907,18,30
908,17,30
909,1,30
910,15,30
911,23,30
912,21,30
913,27,30
914,22,30
915,15,30
915,15,30
916,10,30
917,8,30
918,13,30
919,3,30
920,30,30
921,14,30
922,0,30
923,23,30
924,11,30
925,16,30
926,29,30
927,29,30
928,26,30
929,14,30
930,9,30
931,12,30
932,26,30
933,20,30
934,25,30
935,27,30
936,6,30
937,23,30
938,150,30
939,6,30
940,15,30
941,13,30
942,15,30
943,6,30
944,0,30
945,8,30
946,5,30
947,27,30
948,1,30
949,10,30
950,19,30
951,17,30
952,8,30
953,25,30
954,1,30
955,17,30
956,4,30
957,27,30
958,21,30
959,1,30
960,14,30
961,30,30
962,3,30
963,25,30
964,25,30
965,3,30
966,1,30
967,5,30
968,27,30
969,11,30
970,9,30
971,24,30
972,23,30
973,4,30
974,10,30
975,3,30
976,14,30
977,24,30
978,7,30
979,15,30
980,16,30
981,8,30
982,24,30
983,20,30
984,4,30
985,16,30
986,7,30
987,13,30
988,13,30
989,30,30
990,25,30
991,30,30
992,15,30
992,15,30
993,22,30
994,30,30
995,150,30
996,24,30
997,1,30
998,1,30
999,20,30
1000,18,30
1001,-5,30
1002,25,30
1003,16,30
1004,13,30
1005,21,30
1006,27,30
1007,23,30
1008,11,30
1009,150,30
1010,19,30
1011,22,30
1012,20,30
1013,17,30
1014,19,30
1015,22,30
1016,25,30
1017,12,30
1018,28,30
1019,1,30
1020,12,30
1021,23,30
1022,16,30
1023,9,30
1024,16,30
1025,16,30
1026,20,30
1027,0,30
1028,17,30
1029,7,30
1030,9,30
1031,16,30
1032,1,30
1033,8,30
1034,11,30
1035,24,30
1036,3,30
1037,18,30
1038,14,30
1039,7,30
1040,18,30
1041,28,30
1042,21,30
1043,19,30
1044,9,30
1045,25,30
1046,18,30
1047,22,30
1048,23,30
1049,10,30
1050,6,30
1051,11,30
1052,4,30
1053,26,30
1054,2,30
1055,15,30
1055,15,30
1056,14,30
1057,-5,30
1058,18,30
1059,24,30
1060,8,30
1061,20,30
1062,14,30
1063,30,30
1064,13,30
1065,4,30
1066,15,30
1067,4,30
1068,16,30
1069,3,30
1070,14,30
1071,23,30
1072,17,30
1073,30,30
1074,27,30
1075,3,30
1076,9,30
1077,15,30
1077,15,30
1078,9,30
1079,9,30
1080,0,30
1081,4,30
1082,13,30
1083,150,30
1084,6,30
1085,23,30
1086,3,30
1087,2,30
1088,13,30
1089,9,30
1090,28,30
1091,12,30
1092,23,30
1093,4,30
1094,16,30
1095,24,30
1096,14,30
1097,23,30
1098,25,30
1099,19,30
1100,7,30
1101,10,30
1102,30,30
1103,14,30
1104,20,30
1105,15,30
1105,15,30
1106,18,30
1107,24,30
1108,17,30
1109,20,30
1110,6,30
1111,17,30
1112,1,30
1113,16,30
1114,15,30
1115,0,30
1116,29,30
1117,30,30
1118,15,30
1118,15,30
1119,22,30
1120,18,30
1121,25,30
1122,10,30
1123,1,30
1124,29,30
1125,150,30
1126,0,30
1127,10,30
1128,2,30
1129,3,30
1130,9,30
1131,8,30
1132,4,30
1133,13,30
1134,1,30
1135,10,30
1136,22,30
1137,150,30
1138,15,30
1138,15,30
1139,10,30
1140,30,30
1141,3,30
1142,15,30
1142,15,30
1143,18,30
1144,16,30
1145,12,30
1146,8,30
1147,150,30
1148,2,30
1149,13,30
1150,29,30
1151,8,30
1152,18,30
1153,7,30
1154,20,30
1155,9,30
1156,14,30
1157,-5,30
1158,25,30
1159,11,30
1160,5,30
1161,17,30
1162,30,30
1163,14,30
1164,150,30
1165,19,30
1166,5,30
1167,150,30
1168,8,30
1169,12,30
1170,26,30
1171,18,30
1172,9,30
1173,-5,30
1174,2,30
1175,12,30
1176,26,30
1177,17,30
1178,28,30
1179,19,30
1180,25,30
1181,21,30
1182,20,30
1183,24,30
1184,8,30
1185,10,30
1186,14,30
1187,10,30
1188,-5,30
1189,29,30
1190,150,30
1191,15,30
1191,15,30
1192,13,30
1193,22,30
1194,24,30
1195,2,30
1196,20,30
1197,17,30
1198,-5,30
1199,3,30
1200,26,30
